Date	14c	Ar39	CFC11	CFC12	CFC113	SF6	tritium	85Kr
1358.2	100	100	0	0	0	0	1.5	0
1358.3	100	100	0	0	0	0	1.5	0
1358.4	100	100	0	0	0	0	1.5	0
1358.5	100	100	0	0	0	0	1.5	0
1358.6	100	100	0	0	0	0	1.5	0
1358.7	100	100	0	0	0	0	1.5	0
1358.8	100	100	0	0	0	0	1.5	0
1358.9	100	100	0	0	0	0	1.5	0
1359	100	100	0	0	0	0	1.5	0
1359.1	100	100	0	0	0	0	1.5	0
1359.2	100	100	0	0	0	0	1.5	0
1359.3	100	100	0	0	0	0	1.5	0
1359.4	100	100	0	0	0	0	1.5	0
1359.5	100	100	0	0	0	0	1.5	0
1359.6	100	100	0	0	0	0	1.5	0
1359.7	100	100	0	0	0	0	1.5	0
1359.8	100	100	0	0	0	0	1.5	0
1359.9	100	100	0	0	0	0	1.5	0
1360	100	100	0	0	0	0	1.5	0
1360.1	100	100	0	0	0	0	1.5	0
1360.2	100	100	0	0	0	0	1.5	0
1360.3	100	100	0	0	0	0	1.5	0
1360.4	100	100	0	0	0	0	1.5	0
1360.5	100	100	0	0	0	0	1.5	0
1360.6	100	100	0	0	0	0	1.5	0
1360.7	100	100	0	0	0	0	1.5	0
1360.8	100	100	0	0	0	0	1.5	0
1360.9	100	100	0	0	0	0	1.5	0
1361	100	100	0	0	0	0	1.5	0
1361.1	100	100	0	0	0	0	1.5	0
1361.2	100	100	0	0	0	0	1.5	0
1361.3	100	100	0	0	0	0	1.5	0
1361.4	100	100	0	0	0	0	1.5	0
1361.5	100	100	0	0	0	0	1.5	0
1361.6	100	100	0	0	0	0	1.5	0
1361.7	100	100	0	0	0	0	1.5	0
1361.8	100	100	0	0	0	0	1.5	0
1361.9	100	100	0	0	0	0	1.5	0
1362	100	100	0	0	0	0	1.5	0
1362.1	100	100	0	0	0	0	1.5	0
1362.2	100	100	0	0	0	0	1.5	0
1362.3	100	100	0	0	0	0	1.5	0
1362.4	100	100	0	0	0	0	1.5	0
1362.5	100	100	0	0	0	0	1.5	0
1362.6	100	100	0	0	0	0	1.5	0
1362.7	100	100	0	0	0	0	1.5	0
1362.8	100	100	0	0	0	0	1.5	0
1362.9	100	100	0	0	0	0	1.5	0
1363	100	100	0	0	0	0	1.5	0
1363.1	100	100	0	0	0	0	1.5	0
1363.2	100	100	0	0	0	0	1.5	0
1363.3	100	100	0	0	0	0	1.5	0
1363.4	100	100	0	0	0	0	1.5	0
1363.5	100	100	0	0	0	0	1.5	0
1363.6	100	100	0	0	0	0	1.5	0
1363.7	100	100	0	0	0	0	1.5	0
1363.8	100	100	0	0	0	0	1.5	0
